state,stars,review_count,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,income,density
AZ,2.926605504587156,81.68195718654434,703543.87,3164636.78,850347.12,726689.63,367676.52,485112.21,503283.61,149119.72,46616.88,25361.42,5783.54,4646.14,53980,57.9
CA,3.57,210.63,1024420.7,4500629.2,1227638.14,1117451.74,530379.67,649497.6,626612.23,227132.5,80245.22,29256.34,7289.13,5126.63,85300,253.7
DE,2.904040404040404,56.494949494949495,383711.77,1791661.08,451057.89,432038.25,220645.11,291148.26,259589.52,92630.4,30909.95,11118.24,1538.69,984.77,101700,11280
FL,2.939091915836102,84.86821705426357,504646.27,2221657.73,590853,538059.99,283646.08,358735.52,314478.26,89459.27,27475.19,12910.53,2883.89,3156,65370,401.4
ID,3.0049261083743843,74.57635467980296,63549.39,286776.92,69481.91,76391.21,35912.01,43246.4,38913.93,13548,5705.61,2735.45,551.4,291.01,78020,230.8
IL,2.7472826086956523,27.309782608695652,189595.15,1038718.04,291491.94,246605.61,121819.43,153236.35,151397.96,51230.33,13360.67,6427.54,1794.74,1353.47,70030,189.4
IN,2.8543771043771042,70.86195286195286,114956.89,592334.83,153126.74,141654.9,73395.03,92213.12,88265.86,28913.97,9398.03,4000.92,857.94,508.34,76320,57.1
LA,3.0025,94.875,115723.75,591648.39,151060.2,139831.52,74277.11,97072.8,83443.11,28206.7,11973.44,4613.17,818.7,351.62,58330,107.8
MO,2.8027079303675047,67.41005803,83009.08,404947.1,101012.35,95194.39,47397.36,62849.42,64333.51,22102.96,7189.33,3790.85,675.04,401.9,48610,63.1
MT,5,6,30485.47,144278.72,38488.01,39914.28,17157.99,18893.54,16697.56,7094.24,3851.73,1745,551.62,124.13,71520,89.5
NC,2,29,167554.48,810682.5,189748.51,193802.23,103397.49,135806.56,127238.73,39768.02,12864.68,6250.83,240.27,196.1,72980,7.4
NJ,2.9012158054711246,41.130699088145896,618131.04,3262187.64,917989.1,808870.71,380972.57,477944.17,456560.64,149832.34,48815.38,14763.8,3129.07,3309.86,56420,17.5
NV,3.0833333333333335,117.84946236559139,263984.59,1246728.65,358806,288251.39,154305.72,213405.25,175328.45,30142.55,12985.28,9198.32,1546.2,418.22,75910,428.7
PA,2.963886063072228,73.39776195320448,293128.81,1447097.06,380753.85,357487.54,178113.53,227272.19,208894.84,59790.47,22369.65,9942.84,1533.56,938.58,72210,214.7
TN,2.865079365079365,90.43386243386243,114550.81,553449.82,130462.48,130706.94,69356.22,90385.92,90292.12,27885.89,8638.9,4089.86,1132.29,499.19,65380,167.6
